//X Y Z Classification
504057.70000076 463012.26000214 383.6000061 2
504055.88000107 463014.69000244 383.77999878 2
504058.74000168 463010.97000122 383.73999023 2
504059.86000061 463009.52999878 385.64001465 16
504056.65000153 463013.80000305 383.82998657 2
504057.09999847 463013.25 383.75 2
504057.38000107 463012.91999817 383.67999268 2
504059.24000168 463010.5 385.67001343 16
504057.52999878 463012.80000305 383.66000366 2
504056.27999878 463014.48000336 383.82998657 2
504060.47000122 463008.98999786 385.32000732 16
504055.29999924 463015.83999634 383.77999878 2
504061.27999878 463007.98000336 383.54998779 2
504058.47999954 463011.73000336 383.63000488 2
504056.04000092 463014.98000336 383.82998657 2
504056.83000183 463013.97000122 383.83999634 2
504060.34999847 463009.37000275 385.20999146 16
504058.77000046 463011.48000336 383.70999146 2
504059.47000122 463010.59999847 385.39001465 16
504060.45000076 463009.31999969 384.82998657 16
504059.41999817 463010.72000122 383.66000366 2
504059.40999985 463010.76999664 383.63000488 2
504056.50999832 463014.62999725 383.8999939 2
504056.31999969 463014.93000031 383.8500061 2
504060.40000153 463009.58000183 384.95001221 16
504055.86000061 463015.59999847 383.8999939 2
504060.31000137 463009.76999664 385.57998657 16
504060.52999878 463009.51000214 385.08999634 16
504062.16999817 463007.37999725 383.66000366 2
504056.70000076 463014.62000275 383.86999512 2
504055.97999954 463015.61000061 383.8500061 2
504057.33000183 463013.86000061 383.76998901 2
504059.90999985 463010.48999786 385.52999878 16
504059.56000137 463010.98000336 383.73001099 2
504055.79999924 463015.98000336 383.92001343 2
504059.68999863 463010.87999725 384.95001221 16
504062.40999985 463007.33000183 383.70001221 2
504057.75 463013.5 383.77999878 2
504058.68999863 463012.29000092 383.51000977 2
504060.06000137 463010.52999878 385.48001099 16
504057.11999893 463014.44000244 383.86999512 2
504056.13999939 463015.76000214 383.85998535 2
504055.13000107 463017.12000275 383.73001099 2
504055.18999863 463017.08000183 383.69000244 2
504060.63000107 463009.94000244 384.92999268 16
504060.13000107 463010.62000275 385.57998657 16
504055.47000122 463016.80999756 383.69000244 2
504062.81000137 463007.16000366 383.73001099 2
504060.27000046 463010.54000092 385.6499939 16
504057.68000031 463013.98999786 383.61999512 2
504060.61000061 463010.16999817 385.27999878 16
504058.99000168 463012.33000183 383.60998535 2
504057.40999985 463014.44999695 383.73001099 2
504062.00999832 463008.41999817 383.79000854 2
504056.15999985 463016.16000366 383.8500061 2
504060.74000168 463010.16000366 385.01000977 16
504057.56999969 463014.37000275 383.67999268 2
504058.74000168 463012.87000275 383.60998535 2
504057.43999863 463014.61000061 383.75 2
504055.56999969 463017.11000061 383.79000854 2
504062.31000137 463008.26000214 383.72000122 2
504060.18999863 463011.05999756 385.17999268 16
504060.58000183 463010.58000183 385.17001343 16
504056.09999847 463016.52999878 383.80999756 2
504059.59000015 463011.95999908 383.70999146 2
504060.47000122 463010.81999969 385.07998657 16
504058.5 463013.44999695 383.67001343 2
504059.22000122 463012.54000092 383.67999268 2
504058.40999985 463013.65000153 383.76000977 2
504056.86999893 463015.70999908 383.77999878 2
504055.68999863 463017.30000305 383.88000488 2
504056.11000061 463016.76000214 383.82998657 2
504062.45000076 463008.44000244 383.70001221 2
504061.45999908 463009.76999664 383.95001221 16
504063.49000168 463007.12999725 383.80999756 2
504062.34999847 463008.66000366 383.70999146 2
504060.77999878 463010.76000214 385 16
504055.29000092 463018.04000092 383.70999146 2
504056.15999985 463016.93000031 383.82000732 2
504059.63999939 463012.34999847 383.6499939 2
504056.95999908 463015.91000366 383.79000854 2
504063.25999832 463007.63999939 383.79000854 2
504056.13999939 463017.06999969 383.80999756 2
504061.02999878 463010.65000153 385.23999023 16
504056.90999985 463016.11000061 383.79000854 2
504056.06999969 463017.26000214 383.83999634 2
504060.91999817 463010.88999939 383.75 2
504060.13000107 463011.97000122 383.66000366 2
504061.38999939 463010.33000183 384.35998535 16
504059.09000015 463013.38999939 383.72000122 2
504059.38999939 463013.01999664 383.66000366 2
504060.84000015 463011.15000153 383.70001221 2
504058.40000153 463014.40000153 383.72000122 2
504063.18999863 463008.11000061 383.79000854 2
504060.56999969 463011.59999847 383.69000244 2
504058.61000061 463014.19999695 383.72000122 2
504063.88999939 463007.26999664 383.77999878 2
504057.59000015 463015.61000061 383.58999634 2
504056.72999954 463016.77999878 383.75 2
504056.56999969 463017.02999878 383.79000854 2
504062.15000153 463009.68000031 383.83999634 2
504055.02999878 463019.11000061 383.69000244 2
504058.31999969 463014.80999756 383.6499939 2
504054.81000137 463019.47000122 383.66000366 2
504061.36000061 463010.84999847 383.66000366 2
504056.06999969 463017.84999847 383.79998779 2
504056.29999924 463017.58999634 383.77999878 2
504061.52000046 463010.72000122 383.63000488 2
504054.79000092 463019.62999725 383.66000366 2
504060.70999908 463011.84999847 383.63000488 2
504061.38999939 463010.98999786 383.61999512 2
504056.15000153 463017.91000366 383.82000732 2
504058.15000153 463015.31999969 383.63000488 2
504059.54999924 463013.5 383.70001221 2
504058.40000153 463015.02999878 383.6499939 2
504057.06000137 463016.83999634 383.82998657 2
504057.77000046 463015.93000031 383.58999634 2
504058.38000107 463015.16000366 383.6499939 2
504060.93999863 463011.79000092 383.60998535 2
504060.70999908 463012.13999939 383.55999756 2
504058.40999985 463015.19000244 383.64001465 2
504062.68999863 463009.56999969 383.61999512 2
504063.36000061 463008.73000336 383.73999023 2
504059.13999939 463014.31999969 385.04998779 16
504058.86999893 463014.69000244 385.07998657 16
504059.16999817 463014.33000183 385.11999512 16
504059.20999908 463014.30999756 385.48001099 16
504057.58000183 463016.48000336 383.6499939 2
504063.81000137 463008.29000092 383.70001221 2
504054.90999985 463020.04000092 383.67999268 2
504059.79999924 463013.62999725 383.86999512 2
504063.68000031 463008.55000305 383.67999268 2
504060.06000137 463013.33999634 383.73001099 2
504059.97999954 463013.48000336 383.76000977 2
504057 463017.44000244 383.76998901 2
504058.31999969 463015.70999908 383.6499939 2
504060.65000153 463012.66999817 383.48001099 2
504063.18000031 463009.36000061 383.67999268 2
504055.74000168 463019.19999695 383.76000977 2
504057.29999924 463017.18000031 383.66000366 2
504059.45000076 463014.36000061 385.57000732 16
504061.09999847 463012.22000122 383.57998657 2
504064.48999786 463007.76000214 383.63000488 2
504058.77999878 463015.31999969 383.75 2
504062.20999908 463010.83000183 383.75 2
504059.15000153 463014.88999939 385.66000366 16
504054.83000183 463020.62000275 383.6499939 2
504058.43000031 463015.91000366 383.57000732 2
504057.75 463016.80999756 383.66000366 2
504059.5 463014.55000305 385.63000488 16
504061.59000015 463011.79000092 383.63000488 2
504062.88000107 463010.12999725 383.6499939 2
504059.56999969 463014.54000092 385.48999023 16
504064.55999756 463007.95999908 383.6000061 2
504061.04999924 463012.62999725 383.51000977 2
504063.56000137 463009.33000183 383.70999146 2
504064.20999908 463008.51000214 383.58999634 2
504064.02999878 463008.77999878 383.6499939 2
504061.25999832 463012.44999695 383.67999268 2
504060.63000107 463013.30999756 383.55999756 2
504057.61999893 463017.30000305 383.6499939 2
504059.90999985 463014.30999756 385.8500061 16
504060.84000015 463013.09999847 383.60998535 2
504055.61999893 463020.02999878 383.69000244 2
504062.31999969 463011.19999695 383.67001343 2
504061.36000061 463012.5 383.60998535 2
504063.61000061 463009.55000305 383.70001221 2
504063.33000183 463009.95999908 383.67999268 2
504063.97999954 463009.12000275 383.67001343 2
504058.22000122 463016.73999786 383.60998535 2
504061.13999939 463012.91999817 383.52999878 2
504057.41999817 463017.84999847 383.67001343 2
504063.61999893 463009.69000244 383.67999268 2
504060.31999969 463014.08000183 383.36999512 2
504058.29000092 463016.77999878 383.58999634 2
504062.52999878 463011.19999695 383.60998535 2
504061.72999954 463012.30000305 383.55999756 2
504063.75 463009.63999939 383.73001099 2
504063.90999985 463009.45999908 383.67001343 2
504062.09999847 463011.88999939 383.55999756 2
504057.81000137 463017.55999756 383.63000488 2
504055.75 463020.30999756 383.77999878 2
504059.18000031 463015.80000305 383.63000488 2
504056.25999832 463019.69000244 383.76998901 2
504059.40999985 463015.55999756 384.95999146 16
504059.58000183 463015.36000061 384.91000366 16
504063.95999908 463009.59999847 383.6499939 2
504061.50999832 463012.87000275 383.57998657 2
504065.73000336 463007.30999756 383.60998535 2
504056.43999863 463019.59999847 383.72000122 2
504063.79999924 463009.91000366 383.70999146 2
504060.63999939 463014.11000061 383.45999146 2
504058.38000107 463017.09999847 383.60998535 2
504064.09999847 463009.58999634 383.6000061 2
504058.29999924 463017.26999664 383.55999756 2
504062.52000046 463011.70999908 383.60998535 2
504059.83000183 463015.30000305 385.14001465 16
504057.66999817 463018.16000366 383.72000122 2
504062.47000122 463011.87000275 383.60998535 2
504065.58000183 463007.77999878 383.66000366 2
504062.40000153 463012 383.60998535 2
504060.83000183 463014.09999847 383.54998779 2
504065.76999664 463007.62000275 383.60998535 2
504063.50999832 463010.59999847 383.67999268 2
504060.59999847 463014.48000336 383.57000732 2
504066.09999847 463007.23999786 383.58999634 2
504065.43000031 463008.15000153 383.63000488 2
504063.36000061 463010.90000153 383.77999878 2
504063.29000092 463011.01000214 383.77999878 2
504058.43999863 463017.44000244 383.54000854 2
504058.50999832 463017.36000061 383.55999756 2
504061.38999939 463013.61000061 383.51000977 2
504055.70000076 463021.12999725 383.75 2
504060.90999985 463014.26999664 383.63000488 2
504062.72000122 463011.91000366 383.60998535 2
504060.95999908 463014.25 383.63000488 2
504062.54000092 463012.19000244 383.58999634 2
504061.99000168 463012.94999695 383.67999268 2
504062.54000092 463012.23999786 383.58999634 2
504063.81000137 463010.58999634 383.60998535 2
504054.88000107 463022.37999725 383.54998779 2
504060.18999863 463015.40000153 383.76998901 2
504063.91999817 463010.51999664 383.64001465 2
504064.41999817 463009.87000275 383.69000244 2
504061.81000137 463013.33999634 383.64001465 2
504057.99000168 463018.41000366 383.64001465 2
504060.15999985 463015.55999756 384.45001221 16
504059.43000031 463016.55000305 383.76000977 2
504059.15999985 463016.93000031 383.73999023 2
504060.65000153 463014.98000336 383.82998657 2
504058.54000092 463017.80000305 383.47000122 2
504055.5 463021.81999969 383.72000122 2
504058.72000122 463017.59999847 383.52999878 2
504060.90999985 463014.73000336 383.64001465 2
504059.61999893 463016.44999695 383.70001221 2
504063.02000046 463012 383.73001099 2
504063.06999969 463011.95999908 383.76998901 2
504065.73000336 463008.47000122 383.67999268 2
504064.05999756 463010.69999695 383.60998535 2
504065.06999969 463009.37000275 383.75 2
504056.68000031 463020.48000336 383.75 2
504061.58000183 463014.02999878 383.60998535 2
504063.27000046 463011.83000183 383.76998901 2
504055.70999908 463021.81999969 383.67999268 2
504064.31999969 463010.48000336 383.63000488 2
504061.97000122 463013.61000061 383.72000122 2
504065.19999695 463009.37000275 383.73001099 2
504064.55999756 463010.23999786 383.72000122 2
504061.79000092 463013.91999817 383.64001465 2
504063.15000153 463012.13999939 383.79998779 2
504065.33999634 463009.29000092 383.75 2
504062.27000046 463013.34999847 383.70999146 2
504055.45000076 463022.37999725 383.70999146 2
504057.36000061 463019.87999725 383.67001343 2
504063.06000137 463012.37999725 383.73001099 2
504060.11999893 463016.29000092 383.64001465 2
504064.84999847 463010.05999756 383.76000977 2
504055.22999954 463022.77999878 383.67001343 2
504057.20000076 463020.20999908 383.66000366 2
504062 463013.88999939 383.67999268 2
504065.05000305 463009.90000153 383.76000977 2
504059.29000092 463017.51000214 383.60998535 2
504065.29000092 463009.62000275 383.76998901 2
504064.68000031 463010.44999695 383.70999146 2
504065.45999908 463009.44000244 385.14001465 16
504067.01999664 463007.40000153 383.6000061 2
504058.74000168 463018.34999847 383.51000977 2
504063.02999878 463012.70999908 383.67999268 2
504059.29999924 463017.65000153 383.60998535 2
504063.81000137 463011.73000336 383.75 2
504056.25 463021.72000122 383.66000366 2
504056.27999878 463021.69999695 383.64001465 2
504063.13999939 463012.69000244 383.73001099 2
504067.11000061 463007.47000122 383.6000061 2
504063.86000061 463011.76999664 383.75 2
504056.61999893 463021.34999847 383.69000244 2
504060.75999832 463015.91000366 383.58999634 2
504064.44000244 463011.06999969 383.63000488 2
504063.56000137 463012.26000214 383.76998901 2
504063.13999939 463012.83999634 383.72000122 2
504064.40000153 463011.19000244 383.58999634 2
504061.27999878 463015.33000183 383.6000061 2
504059.34000015 463017.91000366 383.54998779 2
504063.70000076 463012.18000031 383.76998901 2
504054.79000092 463023.94999695 383.60998535 2
504063.90999985 463011.94999695 383.75 2
504064.98000336 463010.55000305 383.67999268 2
504062.95999908 463013.23000336 383.67001343 2
504062.13000107 463014.37000275 383.69000244 2
504062.88000107 463013.38999939 383.66000366 2
504067.11000061 463007.81999969 383.57998657 2
504056.34999847 463022.05999756 383.67001343 2
504067.19999695 463007.76000214 383.60998535 2
504055.06000137 463023.79000092 383.57998657 2
504058.68000031 463019.02999878 385.82000732 16
504062.04999924 463014.61000061 383.67999268 2
504060.75999832 463016.33000183 383.67999268 2
504065.19999695 463010.48999786 383.61999512 2
504055.70999908 463023.02999878 383.92001343 2
504059.90000153 463017.51999664 383.51000977 2
504059.77000046 463017.73000336 383.6000061 2
504061.72999954 463015.15000153 383.6499939 2
504062.47000122 463014.19000244 383.63000488 2
504056.84999847 463021.62999725 383.67001343 2
504060.54999924 463016.77999878 383.6499939 2
504057.97000122 463020.19000244 385.20999146 16
504064.80999756 463011.19000244 383.64001465 2
504067.59999847 463007.52999878 383.57000732 2
504059.68999863 463017.98000336 383.57000732 2
504062.81000137 463013.90000153 383.73001099 2
504063.88999939 463012.48999786 383.69000244 2
504057.09999847 463021.45999908 383.6499939 2
504065.45999908 463010.45999908 384.92001343 16
504062.09000015 463014.91000366 383.73999023 2
504060.20000076 463017.44000244 383.55999756 2
504065.23999786 463010.80999756 383.63000488 2
504056.97999954 463021.70999908 383.60998535 2
504057.02000046 463021.68000031 383.61999512 2
504065.62000275 463010.37000275 383.69000244 2
504067.25 463008.23999786 384.77999878 16
504059.04000092 463019.08999634 385.48001099 16
504067.70999908 463007.66000366 383.54998779 2
504063.25999832 463013.55999756 383.64001465 2
504056.45000076 463022.56999969 383.70999146 2
504065.61000061 463010.5 384.88000488 16
504056.47000122 463022.58000183 383.70001221 2
504067.91000366 463007.5 383.54000854 2
504068.05999756 463007.33999634 383.57998657 2
504067.02999878 463008.70999908 385.38000488 16
504055.68999863 463023.68000031 383.67999268 2
504061.31999969 463016.27999878 383.63000488 2
504065.11000061 463011.30000305 383.63000488 2
504059.34000015 463018.93000031 385.72000122 16
504065.97000122 463010.20999908 384.98999023 16
504061.86000061 463015.65000153 383.69000244 2
504067.79000092 463007.83999634 383.52999878 2
504058.63999939 463019.93000031 385.45999146 16
504056.79000092 463022.40000153 383.67999268 2
504061.06999969 463016.77999878 383.61999512 2
504063.34999847 463013.77999878 383.73001099 2
504067.91000366 463007.77999878 383.51998901 2
504056.43000031 463022.94999695 383.61999512 2
504064.51000214 463012.31999969 383.67001343 2
504060.49000168 463017.63999939 383.58999634 2
504057.81000137 463021.19000244 383.57000732 2
504056.40999985 463023.05000305 383.67001343 2
504055.99000168 463023.63999939 383.82000732 2
504059.74000168 463018.70999908 385.70001221 16
504063.70000076 463013.5 383.70999146 2
504057.31000137 463021.94999695 383.57998657 2
504059.91999817 463018.51999664 385.75 16
504065.76999664 463010.83000183 383.70001221 2
504057.11999893 463022.26000214 383.63000488 2
504063.5 463013.87000275 383.73001099 2
504061.70999908 463016.23999786 383.61999512 2
504064.12999725 463013.08999634 383.52999878 2
504065.36000061 463011.48000336 383.6499939 2
504058.22999954 463020.88999939 383.63000488 2
504063.18999863 463014.37000275 383.73001099 2
504064 463013.33000183 383.61999512 2
504054.88000107 463025.38999939 383.6000061 2
504064.29000092 463012.98999786 383.58999634 2
504067.44000244 463008.84999847 385.45001221 16
504059.52000046 463019.31999969 385.3999939 16
504065.22000122 463011.81999969 383.6000061 2
504058.18999863 463021.12000275 383.6000061 2
504064.38999939 463012.94999695 383.6499939 2
504056.31000137 463023.62999725 383.66000366 2
504063.84999847 463013.69999695 383.64001465 2
504057.22000122 463022.47000122 383.51000977 2
504055.70000076 463024.5 383.63000488 2
504060.34000015 463018.40000153 384.95999146 16
504062.38999939 463015.70999908 383.72000122 2
504057.11000061 463022.69999695 383.57998657 2
504064.44000244 463013.04000092 383.6499939 2
504068.36000061 463007.88999939 383.55999756 2
504055.52000046 463024.83000183 383.57998657 2
504063.58000183 463014.23000336 383.73001099 2
504061.68000031 463016.76000214 383.6499939 2
504062.04999924 463016.27999878 383.57000732 2
504055.95999908 463024.33999634 383.67001343 2
504059.38000107 463019.84999847 386.04000854 16
504061.56000137 463016.98000336 383.6000061 2
504056.52000046 463023.65000153 383.63000488 2
504055.40999985 463025.13999939 383.57000732 2
504067.87000275 463008.70999908 383.57000732 2
504059.77000046 463019.43000031 385.73999023 16
504068.38999939 463008.08000183 383.54998779 2
504058.88000107 463020.63999939 385.44000244 16
504055.36000061 463025.29000092 383.58999634 2
504066.72000122 463010.31999969 385.41000366 16
504058.13999939 463021.66000366 383.3999939 2
504061.38999939 463017.40000153 383.70999146 2
504061.83000183 463016.83999634 383.61999512 2
504067.04000092 463009.98999786 385.41000366 16
504056.45000076 463023.97000122 383.57998657 2
504064.52999878 463013.33999634 383.73001099 2
504066.34999847 463010.94999695 384.82998657 16
504065.84999847 463011.62000275 383.60998535 2
504066.94999695 463010.20999908 385.51998901 16
504063.54000092 463014.72000122 383.70999146 2
504063.22999954 463015.15000153 383.82000732 2
504069.30999756 463007.15000153 383.6000061 2
504067.12000275 463010.05999756 385.48001099 16
504066.19000244 463011.30000305 383.57000732 2
504064.19999695 463013.93000031 383.54000854 2
504067.66999817 463009.37000275 385.45001221 16
504064.09999847 463014.11000061 383.51000977 2
504067.58999634 463009.54000092 385.39001465 16
504058.74000168 463021.22000122 385.33999634 16
504063.84000015 463014.51000214 383.60998535 2
504059.09999847 463020.76999664 385.36999512 16
504057.88000107 463022.40000153 383.54000854 2
504066.80000305 463010.66000366 385.29000854 16
504061.27000046 463017.95999908 383.61999512 2
504055.5 463025.58999634 383.60998535 2
504062.83000183 463015.93000031 383.77999878 2
504059.11000061 463020.87999725 385.32998657 16
504065.01999664 463013.11000061 383.72000122 2
504067.19999695 463010.25 385.33999634 16
504059.47000122 463020.45999908 385.79998779 16
504059.25999832 463020.73999786 385.35998535 16
504061 463018.47000122 383.61999512 2
504057.68999863 463022.84999847 383.54000854 2
504063.79999924 463014.80999756 383.60998535 2
504064.55000305 463013.83999634 383.66000366 2
504054.77999878 463026.73999786 383.58999634 2
504062.75 463016.23999786 383.67001343 2
504058.81999969 463021.45999908 385.04998779 16
504059.86999893 463020.09999847 385.76000977 16
504060.99000168 463018.63999939 383.61999512 2
504061.13000107 463018.47000122 383.64001465 2
504066.70999908 463011.12000275 383.51998901 2
504056.33000183 463024.83000183 383.51998901 2
504065.26000214 463013.06999969 383.76000977 2
504064.45999908 463014.12999725 383.70001221 2
504062.34999847 463016.94000244 383.6000061 2
504068.70999908 463008.56999969 383.55999756 2
504063.77999878 463015.08000183 383.64001465 2
504064.94000244 463013.58000183 383.69000244 2
504058.52000046 463022.05000305 383.55999756 2
504056.45999908 463024.77999878 383.51000977 2
504059.27000046 463021.12000275 385.14001465 16
504059.93999863 463020.23999786 385.19000244 16
504060.75 463019.19999695 385.04998779 16
504061.77999878 463017.84999847 383.52999878 2
504060.40000153 463019.69999695 385.52999878 16
504067.87999725 463009.83999634 385.42999268 16
504066.94999695 463011.08999634 384.32998657 16
504062.40000153 463017.11000061 383.64001465 2
504055.11000061 463026.73999786 383.6000061 2
504065.72000122 463012.76000214 383.51998901 2
504060.59999847 463019.52999878 385.58999634 16
504063.86000061 463015.23999786 383.58999634 2
504064.76999664 463014.05000305 383.60998535 2
504062.06999969 463017.63999939 383.54000854 2
504066.62999725 463011.63999939 383.57000732 2
504063.34000015 463016 383.76998901 2
504066.23999786 463012.18000031 383.44000244 2
504054.93000031 463027.12000275 383.60998535 2
504056.99000168 463024.41999817 383.55999756 2
504064.44000244 463014.62000275 383.67999268 2
504061.68000031 463018.26999664 383.57998657 2
504057.79000092 463023.41999817 384.60998535 16
504067.01999664 463011.26000214 383.61999512 2
504063.33000183 463016.15000153 383.63000488 2
504063.65000153 463015.73999786 383.57000732 2
504060.90000153 463019.37999725 383.60998535 2
504060.75 463019.58999634 385.11999512 16
504064.98999786 463014.01999664 383.64001465 2
504068.58999634 463009.29000092 383.54998779 2
504069.66000366 463007.88999939 383.58999634 2
504060.65000153 463019.80000305 385.6499939 16
504057.45999908 463024.02999878 384.42001343 16
504055.86999893 463026.15000153 383.67001343 2
504055.29000092 463026.93000031 383.66000366 2
504060.59999847 463019.94999695 385.47000122 16
504060.16999817 463020.51999664 385.29998779 16
504063.34000015 463016.36000061 383.64001465 2
504055.20000076 463027.11000061 383.61999512 2
504070.34999847 463007.13999939 383.57998657 2
504056.90999985 463024.88999939 383.5 2
504067.37000275 463011.11000061 384.67001343 16
504063.59000015 463016.11000061 383.63000488 2
504054.86999893 463027.63999939 383.6000061 2
504067.41000366 463011.11000061 384.67001343 16
504056.18999863 463025.93000031 383.6000061 2
504067.16999817 463011.45999908 383.60998535 2
504059.59000015 463021.47000122 383.51998901 2
504069.97000122 463007.80000305 383.67999268 2
504062.43999863 463017.73999786 383.57000732 2
504057.09999847 463024.80000305 383.57998657 2
504067.36000061 463011.29000092 384.67999268 16
504067.30999756 463011.37000275 383.57000732 2
504057.22999954 463024.68000031 383.57000732 2
504061.43999863 463019.15000153 383.66000366 2
504068.73000336 463009.54000092 383.48001099 2
504056.81999969 463025.26000214 383.63000488 2
504068.38999939 463010.01999664 383.6000061 2
504060.38000107 463020.59999847 385.41000366 16
504067.54000092 463011.16999817 384.70001221 16
504057.59999847 463024.29000092 384.76998901 16
504056.79999924 463025.37000275 383.55999756 2
504066.13999939 463013.05999756 383.54000854 2
504063.40000153 463016.69999695 383.61999512 2
504064 463015.91999817 383.6000061 2
504069.76999664 463008.33000183 383.60998535 2
504059.59999847 463021.75 383.60998535 2
504060.40000153 463020.72000122 385.32000732 16
504066.40000153 463012.83000183 383.52999878 2
504067.69999695 463011.12999725 383.42999268 2
504062.24000168 463018.33999634 383.54998779 2
504063.47000122 463016.73999786 383.60998535 2
504062 463018.69000244 383.51998901 2
504067.76999664 463011.08999634 383.41000366 2
504057.95999908 463024.05000305 386.22000122 16
504062.74000168 463017.76999664 383.51998901 2
504060.97999954 463020.09999847 385.29998779 16
504064.66000366 463015.26000214 383.6499939 2
504070.83000183 463007.15000153 383.51000977 2
504063.40000153 463016.95999908 383.57998657 2
504065.66999817 463013.98000336 383.6000061 2
504060.91999817 463020.26999664 385.29998779 16
504057.61000061 463024.65000153 384.97000122 16
504066.69000244 463012.69000244 383.54998779 2
504063.00999832 463017.55999756 383.57000732 2
504062.61999893 463018.08000183 383.54000854 2
504059.90999985 463021.68000031 383.48999023 2
